rong2 shi4	26-6760-B
rong2 shi4 chang3	64-14959-S
rong2 shi4 kong3 zong3	26-6811-B
rong2 shu4	34-39157-B
rong2 ti3	15-781-S,39-25002-B
rong2 wei1 ji1	64-14887-S
rong2 wei2 yi1 ti3	56-11272-B
rong2 xi4 tong3	64-15178-S
rong2 xian4	49-49711-B
rong2 xiang1	54-45698-S
rong2 xin1	55-53083-S
rong2 xing4	8-6594-S,12-15193-S,34-41041-B,36-43239-S,67-32958-S
rong2 xu3	19-65908-B
rong2 xue3	56-11779-B
rong2 xue3 tian1 qi4	56-11833-B
rong2 xue4	39-24451-B
rong2 xue4 bing4	39-24544-B
rong2 yan2	41-13781-B
rong2 yan2 hu2	41-13875-B
rong2 yan2 jiang1	41-14207-S
rong2 yan2 liu2	39-24183-B,41-13820-B
rong2 yan2 qiong2 qiu1	41-13929-B
rong2 yan3 sheng1 gong1 ju4	64-15251-S
rong2 yao4	34-41800-B
rong2 yao4 yu2	9-56647-S
rong2 ye4	39-24238-B
rong2 yi1	26-7079-B
rong2 yi4	2-5936-S,5-13791-S,18-26291-S,18-28045-S,19-65554-B
rong2 yu2 jiao4 shou4	34-42021-B
rong2 yu4	34-41973-B
rong2 yu4 jun1 ren2	34-42097-B
rong2 yuan2	2-57612-S,56-20569-B
rong2 yuan4	51-6318-S
rong2 zha1	41-13998-B
rong2 zhi4	39-24874-B
rong2 zhi4 bian4	2-5988-S
rong2 zhi4 yi2	40-50000-S
rong2 zhuang1	26-7129-B
rong2 zi1	8-9811-S,56-11736-B
rong2 zong1 yao4 zu3	34-40912-B
rong3	8-12591-B,29-11780-S,36-15258-S,36-17530-B
rong3 chang2	8-12677-B
rong3 rong3	36-15258-S
rong3 yu2	8-12730-B
rong3 yuan2	8-12625-B
rong4	19-36748-S
