nüwa creator of humans in chinese mythology	18-19918-B,18-19996-B
nüzhen or jurchen	18-21777-B
o	10-57103-S,22-55167-S,36-32100-S
o clock	31-38708-B,64-59606-B,71-37621-B,71-42498-S
o connell 1775 1847	18-13708-S
o connell name	18-13708-B
o connor 1848 1929	18-13808-S
o connor name	18-13808-B
o the wisp mysterious lights due to phosphorescence from natural calcium phosphate 磷化鈣 磷化钙 capo3	70-31807-S
o3	53-15920-S,53-16961-S
oa tunya on the zambesi river	50-2762-S
oak	33-45148-B,34-23557-B,34-46773-B,35-6178-B,35-6262-B,35-16854-B,35-17162-S
oaken	35-6222-B
oakland california	18-12816-B
oam	49-61138-B
oar	33-40379-B,34-32092-B,34-46814-B,35-16299-B,35-16567-S,53-39682-S
oasis	49-65642-B
oasis town of kroraina or loulan on the silk road near lop nor 羅布泊 罗布泊	34-51662-S
oat	41-30280-B
oath	25-23480-S,45-6888-B,58-8867-S,58-23007-B,58-23493-S,58-23615-B,58-23668-B
oath of allegiance	49-4780-B
oath of alliance	45-7521-B
oath of brotherhood in the peach garden	34-2797-S
oath of eternal love	21-31808-B,38-24136-B,45-7227-B
oath of office	19-55531-S
oath or treaty between allies	45-7436-B
oath to do sth	45-62887-S
oaths as a monk buddh 	11-61528-S
oatmeal	41-30317-B,71-12208-B
oats	71-11086-B,71-12208-S
ob	61-66150-B
obadiah	5-32043-S
obama 1961 	18-13646-S
obata takeshi	20-68012-B
obed	51-41877-S
obed in the bible	60-42081-S
obed name	29-65598-B
obed son of boaz and ruth	5-31589-B
obediance	45-19691-S
obedience	44-50540-S
obedience 成语 saw	25-4160-S
obedient	3-12204-S,5-50462-S,39-23446-S,44-50540-S,52-1666-B,68-23819-B,69-45615-B
obeisance	29-22182-S
obeisance or greeting	27-48581-S
obese	5-28555-B
obese clinically overweight	44-10276-B
obesity	52-12181-B
obey	5-24622-S,5-44150-S,20-43346-S,22-11463-B,24-9875-S,35-24167-S,35-24467-S,51-69127-S,52-426-S,52-2087-S,62-68129-S,62-68240-S,62-69010-S,68-21881-S
obey an order	24-11014-S,32-43636-S,51-69940-S
obey in turn three men father	1-34468-S
obey or comply	2-15204-S
obey orders 成语 saw	46-43320-S
obey the law	32-43827-S
obidoxime chloride	66-65440-B
obituary	57-57969-B
obituary notice	57-57932-B
