ní yà bìng dú	18-914-S,22-14741-S
ní yà chuán qí	49-16144-S
ní yà dà xué	9-51952-S,59-55275-S
ní yà dà xué luò shān jī fēn xiào	9-52060-S
ní yà jiā lā pù bù	21-12493-B
ní yà lú kǎ	22-4989-S
ní yà lā	67-42379-S
ní yà lǐ gōng xué yuàn	9-52289-S
ní yà měi	21-12579-B
ní yà rè	18-824-S
ní yà rén	66-6650-S,66-7927-S
ní yà sī	4-48438-S
ní yà yǔ	37-38988-S
ní yà zhōu	9-52204-S,16-17593-S,23-31556-S,57-17254-S,59-55385-S
ní yī dé	4-48496-S
ní yǎ	21-14585-B,51-40624-S
ní yǎ hé	21-14621-B
ní zhì	33-66626-S,33-66889-S
ní zhì biāo zhǔn shí jiān	33-67124-S
ní zhì běn chū zǐ wǔ xiàn	33-66994-S
ní zhì yè yán	37-43876-B
ní zhǎo	37-43168-B
ní zú	13-38149-S
ní zú yí zú zì zhì xiàn	20-18721-S,31-49756-S
ní zú yí zú zì zhì zhōu	49-10849-S
ní zú zì zhì xiàn	16-28830-S
ní zī	54-39729-S
ní · sī shǐ mò tè lái	53-47522-S
ní ào fū	43-54431-S
ní ào fū dài	43-54507-S
ní ào lā	4-48873-S
ní è lì dé	21-12957-B
ní ā bō lì sī	31-23383-S
ní ān dé lǔ rén	21-13184-B
ní ěr	3-2102-S
ní ěr bìng	51-6396-S
nín	25-8577-B
nín hǎo	25-8612-B
nín shì bù shì yāo chá	25-8660-B
níng	2-68996-S,4-48295-S,4-55547-S,6-56645-B,8-12524-S,8-27609-B,8-66411-S,10-69439-S,12-10735-S,13-11617-S,13-29960-S,14-39445-B,16-38392-S,17-15220-S,18-5345-S,19-27130-S,20-6977-S,20-16437-B,22-30729-S,23-12144-S,23-20856-S,23-39321-S,23-39702-S,24-37389-S,26-365-S,29-13763-S,29-28415-B,30-47236-S,31-20611-S,31-43658-S,31-48021-S,32-23179-S,33-1923-S,33-17598-S,34-27870-S,35-15436-B,35-35871-S,35-46120-S,36-50593-S,36-58693-S,37-46281-S,37-55869-S,38-17874-S,39-31369-S,40-9140-S,42-11827-S,42-22758-B,43-36824-B,45-55694-S,49-56836-S,51-40142-S,51-69086-B,52-3307-S,53-24246-S,54-33762-S,54-44567-S,56-23923-S,57-16114-S,59-20299-S,59-29584-S,62-34943-S,63-4612-S,63-14706-S,63-21240-S,63-29981-S,65-13622-S,65-58422-S,65-63173-S,66-19474-S,66-57538-S,67-56148-S,67-61701-S
níng biān	20-19814-B
níng bō	20-18232-B
níng bō dì qū	20-18306-B
níng bō shì	20-18402-B
níng chéng	20-16902-B
níng chéng xiàn	20-16973-B
níng dà xué	63-4839-S
níng dé	20-17478-B
níng dé dì qū	20-17550-B
níng dé shì	20-17631-B
níng dì qū	10-69610-S,13-30035-S,40-9215-S
níng dū	20-19897-B
níng dū xiàn	20-19969-B
níng guó	20-16839-B
níng gé lè	8-66543-S,9-60208-S
níng gé lè zhōu	9-59316-S
níng gù	8-27677-B
níng gù diǎn	8-27768-B
níng gāng	20-17342-B
níng gēn	22-27022-S,33-67906-S
níng gǔ dào niǎo	63-4695-S
níng huà	20-16561-B
níng hé	20-18169-B
níng hǎi	20-19065-B
níng jié	8-28005-B
