cropper	54-50875-S
cropping up	27-61868-S
crops	3-52290-S,5-60465-S,28-47010-S,43-32787-S,47-15758-S,47-35931-S,61-39598-S,68-57227-S
crops in one location	66-58762-S
crops or fertilizer	69-10666-S
crops other than rice and wheat	67-5517-S
crops to collapse and lie flat	5-55241-S
crops to preserve fertility of soil	61-15534-S
crops together	18-8316-S
crops up frequently	22-30644-S
croquet	34-44059-B,65-23203-B
croquettes	40-30921-B
cross	3-67176-B,10-46044-B,10-67963-S,11-41772-B,11-41838-S,12-68624-S,35-9396-S,39-2024-S,47-51931-S,50-29530-S,51-23149-S,54-12879-S,60-19642-S,62-42853-S,64-47626-B,69-27813-S
cross a border	8-42958-S
cross a ravine like flat ground	21-26653-S
cross a street	47-52593-S
cross bar	33-52105-B
cross beam	35-10995-B
cross beam for hanging bells	48-39575-B
cross beam in roof	34-1151-S
cross beams	34-1224-S
cross border trade	60-39332-B
cross bow	23-36000-B
cross country	60-27843-B
cross country running	60-27889-B,60-27965-B
cross examine	45-10618-B
cross examine legal	45-11986-B
cross eyed	30-33968-B
cross hatched graphic pattern	3-67487-B
cross international humanitarian movement	49-8648-S
cross language	60-39969-B
cross legged	24-9768-S,60-35395-S
cross lengthwise	50-30803-S
cross little fingers between children as a promise	27-21394-S
cross modal technique	60-40201-B
cross of 4 petals	10-46125-S
cross off	9-39518-S
cross one s legs	45-11933-S
cross out	9-39518-S
cross over	39-2386-S,60-27739-S,60-40311-S,62-34674-S
cross over by ferry	62-46720-S
cross over e g traffic	45-26004-S
cross piece	35-11306-B
cross pieces	35-11306-S
cross platform	60-39485-B
cross product	11-42137-B
cross product of two vectors	16-49776-S
cross river or lake	48-571-S
cross road	10-45895-B
cross shape	10-45978-B
cross shaped	10-45895-B
cross stitch embroidery	27-66213-B
cross stream by stepping on stones	46-12487-B
cross swords	4-457-S
cross talk	20-47769-S,45-30560-B
cross the roofridge 成语 saw	60-54554-S
cross the street	62-48854-S
cross the wide ocean	62-62040-S
cross to bear	46-41073-S
cross tolerance	3-67403-B
cross transversally	35-10230-S
cross verbal swords	13-49179-B
crossball	23-46884-B
crossbar for yoking horses	61-1189-B
crossbar in carriage front	61-5949-B
crossbar of carriage	61-13700-S
crossbill	70-58142-B
crossbow	23-25699-B,23-25741-B,23-36031-S,48-23515-S,64-59026-S,64-59026-B
crossbow arch 	23-36175-B
crossed	50-29181-S
crossed 成语 saw	50-29380-S
crossfire	3-67338-B
crossing	4-16202-S,37-58491-S,37-58491-S,60-41892-B
crossing inspection	38-25717-S
crossing involving fly over bridges or underpass tunnels	47-60282-S
crossing point	37-59376-S
crossing the wei river 渭河 at chencang 成语 saw	31-61815-S
crosspiece	34-8130-S
crossroad	57-26159-S,57-26647-S
