克	20-36467-S
克孜勒苏柯尔克孜自治州	65-69128-S,65-69358-S,65-69588-S
克孜勒蘇柯爾克孜自治州 克孜勒苏柯尔克孜自治州	65-69128-S,65-69358-S,65-69588-S
兒 儿	7-21652-S
兒 儿 erhua	37-26491-S
兜	7-23041-S
內蒙古自治區 内蒙古自治区	7-31641-S
全球化	43-6424-S
全球变暖 in prc	7-39069-S
全球暖化 in taiwan	7-39804-S
全球變暖 全球变暖 in prc	7-39069-S
全身麻醉	7-43052-S
兩 两	2-46095-S,64-25499-S
兩頭 两头	7-48323-S
八卦	15-52420-S
八卦 representing sky	3-23839-S
八旗 eight banners	31-2669-S
公元	57-12925-S
公升	10-52837-S
公司 or bus 巴士 or club 俱樂部 俱乐部	59-2815-S
公民投票	7-60009-S
六书 of forming chinese characters	6-5978-S,6-6174-S,23-53820-S,23-55344-S,27-57051-S,27-57199-S,32-23505-S,32-23744-S,59-23175-S,59-23357-S,61-27622-S,61-27843-S
六安	64-9271-S,64-9348-S
六書 六书 of forming chinese characters	6-5978-S,6-6174-S,23-53820-S,23-55344-S,27-57051-S,27-57199-S,32-23505-S,32-23744-S,59-23175-S,59-23357-S,61-27622-S,61-27843-S
六盘水	7-68169-S
六盤水 六盘水	7-68169-S
六經 六经	4-22245-S
六经	4-22245-S
六韬 and three strategies 三略	7-69782-S
兰花 cymbidium goeringii	55-44129-S
兰草	55-17219-S
兰草 eupatorium fortunei	55-44129-S
关	65-47744-S
关中 plain	39-4776-S,39-5151-S,39-5252-S
关中平原 and han river 汉水 valley	47-24151-S
关于	65-53775-S
兴安	53-24114-S,67-52568-S
兽	42-17638-S
内蒙古自治区	7-31641-S
冏	14-62947-S
军委	60-64843-S
农业工人	61-40491-S
农民协会	61-40809-S
冤	20-954-S
冤孽	8-14769-S
冬至 and summer solstice 夏至	31-11650-S
冯梦龙	12-328-S
冰	36-48184-S
冲击波	37-13055-S
冲绳 and other islands under japanese administration	42-57362-S
冼星海	71-20598-S
净	38-8121-S
净 clean	8-25500-S
凄	25-11621-S,38-41650-S
凄婉	8-24546-S
凌夷	66-30672-S
几何原本	11-33497-S
出 classifier for plays or chapters of classical novels	71-56194-S
出尖	8-38513-S
出苗 chu1 miao2	67-47662-S
刑事訴訟法 刑事诉讼法	8-64769-S
刑事诉讼法	8-64769-S
刘伯温 1311 1375	9-41431-S
刘备 during the three kingdoms	56-2134-S
刘备 edict to posterity	7-3935-S
刘备 recruits zhuge liang 諸葛亮 诸葛亮 the hidden dragon 臥龍 卧龙 to his cause by visiting him three times	1-44380-S
刘宋	19-35602-S
刘宋 song of southern dynasties 420 479	60-29569-S
刘熙	63-52782-S
刘禅 207 271	9-42975-S
刘邦 256 or 247 195 bc	39-51386-S
刘邦 in his tent trusts his general a thousand miles away to make better decisions	61-46766-S
刘邦 of han and xiangyu 項羽 项羽 of chu	34-30346-S
刘鹗	51-28765-S
初小	9-1358-S
初级小学	9-422-S
刨根	9-5237-S
别扭	23-46644-S
剂	9-29642-S
剋 克	20-36467-S
前列腺	29-35161-S
前半天	9-18837-S
前半晌	9-19001-S
前燕 337 370	9-21977-S
前趙 304 329 and later zhao 後趙 319 350 of the sixteen kingdoms	60-29277-S
前边	9-25069-S
前邊 前边	9-25069-S
剑	9-29591-S
剑桥 and oxford 牛津 universities	9-44190-S
剩	9-33875-S,59-63027-S
副 fu4	45-52174-S
