bat	3-12021-S,27-29273-S,29-19847-S,42-51980-B,42-52030-S,56-7286-B,56-7313-B,56-7542-B
bat an eyelid	1-73359-S
bat pteroptidae	42-6787-S
batang town in kham prov of tibet	22-4420-S
batatas	43-15161-S
batch	26-58164-B,29-11465-B
batch file	26-57496-B
batch number	26-57549-B
batches	26-56691-S
batches or groups	8-53309-S
bath	21-23528-S,22-6449-B,29-26356-S,34-7162-S,37-8415-B,37-53202-B,38-14685-B,38-14875-S,40-788-B,40-989-S,56-26513-S
bath house	40-989-S
bath of shower	41-20090-S
bath towel	38-14832-B
bath tub	40-1063-B
bathe	37-8300-B,37-52715-S,37-53649-S,38-14685-S,40-1350-B,40-1387-B
bathe the body and cleanse virtue 成语 saw	40-1179-S
bathhouse	36-62262-S,39-13871-S
bathing	38-14767-S
bathing costume	39-7124-B
bathing spot	38-14720-B
bathing suit	37-49158-B
bathrobe	38-15045-B
bathroom	37-53690-B,56-38455-B
bathroom from heat	31-58534-S
bathroom room used for bathing	38-14767-B
bathroom tissue	56-38241-B
baths	40-942-S
bathtub	38-14919-B,38-14959-B,45-1937-B
batman	56-7350-B
batna	22-8746-B
baton	27-59315-B
bator	11-7972-S
bator capital of mongolia	40-38365-S
bator mongolian palace	40-37100-S
batrachotoxin btx	56-173-B
batrytis	44-40690-S
battambang	69-37528-B
batted in	26-50822-S
batter	62-22313-B
battered	71-52376-S
battered and exhausted	42-10647-B
batteries	7-606-S,37-12143-S
battering ram	29-47446-B
battery	1-20144-S,26-53650-S,46-16236-B,64-38946-S,64-39030-S,67-31853-B
battery charger	7-692-B
battery for storing electricity	67-32682-B
battery prc	1-28613-S,1-41295-S,3-54484-S
battery taiwan	1-41295-S,3-41441-S,14-52727-S
battle	1-56969-S,4-25681-B,4-25990-B,8-39709-S,10-4344-S,20-57374-S,23-7149-S,23-60500-S,23-63496-S,23-64756-S,24-23335-S,25-19226-S,25-21379-S,25-24121-S,26-16674-B,26-20484-S,26-40760-S,27-867-S,29-65744-S,29-65798-S,29-66085-S,34-44347-S,36-66016-S,38-19785-S,40-4914-S,40-23826-S,44-54226-S,46-17659-S,50-29808-S,52-62693-S,56-25021-S,56-30338-S,64-56791-S,66-20726-S,66-20775-S,66-31881-S,70-29056-B
battle and kill the enemy	1-57023-S
battle ax	26-4922-S,64-24374-B
battle ax and boiling cauldron 成语 saw	30-38177-B
battle ax 成语 saw	2-35456-S,30-38074-S,44-39629-S
battle axe	64-57068-B
battle chess	60-65641-S
battle companion	26-17361-B
battle cries 成语 saw	28-54024-S
battle cruiser	21-51446-B
battle cry	13-2780-B
battle formation	61-1043-B
battle group	26-20662-B
battle group led by an aircraft carrier	53-35536-S
battle line	26-20067-B
battle of changping of 260 bc	65-14258-B
battle of guadalcanal of late 1942	43-9574-B
battle of medway of june 1942	2-82502-B
battle of redwall of 208 at chibi in huangzhou district 黃州區 黄州区 of huanggang city 黄冈	60-5815-B
battle of sarhu in 1619	55-25563-B
battle of waterloo	39-29666-S
battle of wits	70-29008-B
battle of words	13-49179-S
battle plan based on the eight trigrams in legend	7-49886-S
battle plan in a tent 成语 saw	61-46766-S
battle royal	38-53932-B
battle 成语 saw	24-12606-S,26-18920-S
battledore and shuttlecock	33-30977-B
battlefield	26-18073-B,26-18118-B,30-98-S,37-15169-B,44-960-B,56-27338-B,56-30030-S,56-30030-S
battlefield operation	64-3619-B
battlefield turret	34-51332-S
battlefront	26-20067-B
battleground	37-15169-B
battlement	15-56843-B
battlements	16-7236-B
battles 成语 saw	44-54115-S
battleship	3-4048-B,26-16974-B,26-20132-B,26-20819-B,65-3952-S
baud	37-40656-B,37-40692-B
baudrillard name	22-17898-B
bauhinia medal gbm	17-30625-S
bauhinia the symbol of hong kong	49-29561-B
baume degrees	37-41050-B
baume hydrometer	37-41106-B
bauxite	64-34715-B,64-34767-B
bavaria	15-59574-S,22-3171-B,25-46617-S
bawd	70-53692-S
bawl	12-30629-S,12-30965-S,14-25731-B,14-40257-B
bawl out	13-16248-S,44-14860-S
bay	3-65600-S,6-17396-S,17-5066-S,18-6447-S,33-13032-S,33-15007-S,35-10501-S,38-21954-B,39-2796-S,40-2536-S,40-18902-B,54-24523-S,64-30747-S,66-38224-B,66-45483-B
bay horse	69-51688-B
bay horse with black mane	69-54157-B
bay in a room	65-43568-B
bay in cuba	65-54532-S
bay in hong kong	17-28251-S
bay in vladivostok famous for its pollution	64-15499-S
bay leaf	32-27531-B,32-27844-B,32-27919-B,69-30444-B
bay near weihai 威海市 on north coast of shandong	34-41257-S
bay of bengal	19-10406-B
bay of biscay spanish mare cantabrico	15-49653-B
bay of pigs cuba	59-25902-B
bay serving as harbor	39-6263-B
bay tree	32-27531-B,32-27711-B
bay tree myrica rubra	34-28188-S
bay 杭州灣 杭州湾 in zhejiang	3-11262-S,3-11371-S
bayan	22-5521-B
bayan county in heilongjiang province	22-5776-B
bayan name	4-59296-B
bayan nur prefecture level city in inner mongolia	22-5559-B,22-5662-B
bayan of the baarin 1236 1295	4-59296-B
bayanbulak grasslands in uldus basin of tianshan mountains	22-10510-B
bayinguoleng mongol autonomous prefecture of xinjiang	22-10644-B
bayonet	9-12846-B
bayonet charge	27-50748-B,27-50795-B
bayonet practise in pairs	20-47423-B
bayuquan district of yingkou city 營口市 营口市	70-49163-B,70-49260-B
bazaar	13-58974-B,44-57826-B,51-14331-S,51-14407-B,66-57665-B
bazhong district district in sichuan	22-2988-S
bazhong prefecture level city in sichuan	22-2913-B,22-3085-B
bbc	54-2223-B,54-2339-B
