xùn	2-32595-S,2-34936-S,3-65189-S,5-21790-B,6-21151-S,6-27456-S,6-39524-S,8-26032-S,11-10068-S,11-24884-S,11-64433-S,13-63082-S,14-9327-S,14-33586-B,15-66375-S,16-55786-S,18-48161-S,20-22955-S,21-28569-S,22-11463-B,23-65393-B,26-51574-S,28-42248-S,29-6313-S,29-44056-S,29-61240-S,30-16449-S,31-41644-S,33-53743-S,35-59458-S,35-60364-B,36-8123-S,36-57301-B,36-61002-S,39-23446-S,39-61096-B,45-3244-S,45-3338-S,46-367-S,48-38562-S,49-7669-S,50-62328-S,51-43105-S,51-50934-S,51-57314-S,55-14134-B,55-23276-S,57-60842-B,57-64053-B,58-39292-S,58-39359-S,58-40331-S,58-53991-S,59-1837-S,59-53192-S,61-585-S,61-16669-S,61-44355-B,61-61265-B,62-13084-S,62-14138-S,62-59285-B,63-3741-S,65-61845-S,66-59509-S,67-36623-S,69-45442-B,70-41377-S,70-56843-S
xùn bào	36-5962-S
xùn chì	57-64271-B
xùn chù	29-57793-S
xùn cí	57-65032-B
xùn cóng	69-45615-B
xùn dìng yuè	51-53877-S
xùn dí	57-65220-B
xùn dǎo zhí wù	57-64173-B
xùn fú	69-45767-B
xùn guó	35-60419-B
xùn gōng sī	54-2814-S,67-36684-S
xùn gǔ	57-64837-B
xùn gǔ xué	57-64936-B
xùn huà	57-65087-B,69-45508-B
xùn hàn jì	69-45663-B
xùn hào	57-61711-B
xùn háng yè	62-13503-S
xùn jiè	57-65145-B
xùn jiāo huàn biāo zhǔn mǎ	51-5391-S
xùn kuàng chuán sòng	57-61337-B
xùn kuàng chuán sòng fú wù	57-61409-B
xùn kuàng chuán sòng lùn tán	57-61611-B
xùn kuàng chuán sòng wǎng lù	57-61509-B
xùn kè	62-59382-B
xùn kē jì	59-53236-S
xùn liàn	15-36194-S,57-64597-B
xùn liàn yíng	57-64661-B
xùn liàn zhě	57-64721-B
xùn liáng	69-45811-B
xùn léi	61-44570-B
xùn lìng	57-64121-B
xùn lù	62-13663-S,69-46223-B
xùn mín zhèng yīn	57-64353-B
xùn měng	61-44383-B
xùn mǎ	69-45972-B
