try to be different	9-3200-B
try to be smart	53-684-S
try to be the first	28-61896-S
try to defend oneself	61-37774-B,61-37920-S
try to figure out	28-48030-S
try to find	26-58729-S
try to gain	11-6236-B,58-50390-B
try to gain at expense of others	57-62015-S
try to get out of a task	28-32176-S
try to locate sth by following up a clue	27-62174-B
try to obtain	36-53974-S
try to overcome hardships etc	7-16897-B
try to persuade	10-10382-S
try to please	11-58278-S
try to turn back history	5-60574-S,61-68194-S
try 成语 saw	11-42837-S,60-53587-S
trying	67-12619-B
trying everything in a desperate situation	35-59864-S
trying to hide it makes it more conspicuous 成语 saw	25-53456-B
trying to steal a chicken	6-23700-B,6-23812-B
