fen1 ge1	1-75772-S,8-50412-B,71-24048-S
fen1 ge2	8-59567-B
fen1 gei3	8-57432-B
fen1 gong1	8-52098-B
fen1 gong1 si1	8-50176-B
fen1 guang1	8-50048-B
fen1 hang2	8-57893-B
fen1 hao4	8-57841-B
fen1 he2	49-57164-S
fen1 he2 shi4	49-57247-S
fen1 hong2	8-56090-B,8-57164-B
fen1 hua4	7-46245-S,8-50466-B
fen1 hui4	8-54361-B
fen1 hui4 chang3	8-54401-B
fen1 ji1	8-55424-B
fen1 ji1 ben3 ding4 li3	24-20386-S
fen1 ji2	8-57223-B
fen1 ji3 he2	24-18103-S
fen1 ji3 he2 xue2	24-18178-S
fen1 jia1	8-51409-B
fen1 jiao3	1-39063-S
fen1 jiao3 qi4	8-58113-B
fen1 jie3	8-58196-B,14-60088-S,58-9625-S,61-18588-S
fen1 jie3 fan3 ying4	24-13446-S
fen1 jie3 zuo4 yong4	8-58258-B
fen1 jie4 ling3	17-7124-S
fen1 jie4 xian4	8-56591-B
fen1 ju1	8-51836-B
fen1 ju2	8-51793-B
fen1 ju4	8-50650-B
fen1 kai1	8-59455-B
fen1 ke4 si1	30-42393-S
fen1 kuai4	19-48294-S
fen1 lan2	49-19667-S
fen1 lan2 yu3 la1 bu4 la1 duo1	49-19731-S
fen1 lei4	8-59938-B,10-364-S,10-592-S,58-7260-S,58-26950-S
fen1 lei4 xue2	8-59986-B
fen1 lei4 zhang4	8-60060-B
fen1 li2	1-75872-S,8-59631-B,12-45712-S
fen1 li2 fen4 zi3	8-59739-B
fen1 li2 ji1	67-9698-S
fen1 li2 zhu3 yi4	8-59675-B
fen1 li4	1-35941-S,8-57078-B
fen1 lie4	8-57967-B,39-649-S,49-32473-S
fen1 lie4 zheng4	48-55324-S
fen1 lie4 zhu3 yi4	8-58048-B
fen1 liu2	8-56240-B,8-60197-B
fen1 lu:4	44-51478-S
fen1 luan4	49-24075-B
fen1 mi3	8-57122-B
fen1 mi4	7-26474-S,8-55906-B,16-44507-S
fen1 mi4 wu4	8-55946-B
fen1 mi4 xian4	7-26547-S,16-44592-S
fen1 mian3	8-50711-B,58-24136-S
fen1 miao3 bi4 zheng1	8-56936-B
fen1 ming2	8-53983-B
fen1 mu3	8-55660-B
fen1 nan2 she3	67-11707-S
fen1 pai4	8-56156-B
fen1 pei4	8-59002-B,27-62089-S,27-63647-S
fen1 pei4 lu:4	8-59071-B
fen1 pei4 qu1	35-11644-S
fen1 pi1	8-53309-B
fen1 pin2	8-59857-B,30-20861-S
fen1 qi1	8-54458-B
fen1 qi1 fu4 kuan3	8-54523-B
fen1 qi2	8-55533-B
fen1 qi2 Mi4 ma3	62-55151-S
fen1 qi2 dian3	8-55588-B
fen1 qian2	1-3082-S,8-59368-B
fen1 qing1	8-56280-B
fen1 qing1 hong2 zao4 bai2	1-71812-S
fen1 qing2 you2	1-71658-S
fen1 qu1	8-50530-B,11-2888-S,60-64014-S
fen1 quan2	8-55478-B,63-41615-B
fen1 quan2 jiao1	63-41713-B
fen1 san4	8-53600-B
fen1 san4 de5 ce4 lu:e4	8-53783-B
fen1 san4 shi4	8-53661-B
fen1 san4 shi4 zi1 liao4 jie4 mian4	7-12360-S
fen1 san4 zhu4 yi4	8-53717-B
fen1 se4	8-57694-B
fen1 se4 jing4 tou2	8-57743-B
fen1 sen1	37-3653-S
fen1 she4	8-58328-B
fen1 shen1	8-58615-B
fen1 shen2	8-56820-B
fen1 sheng1 zu3 zhi1	8-56526-B
fen1 sheng4 fu4	1-71419-S
fen1 shi2	8-54144-B
fen1 shi2 duo1 gong1	8-54190-B
fen1 shou3	8-53251-B
fen1 shu2	1-31178-S,3-47397-S
fen1 shu3	8-51932-B
fen1 shu4	6-6833-S,8-53865-B,44-51369-S,45-41234-S
fen1 shui3 ling3	8-55718-B
fen1 shui3 xian4	8-55787-B
fen1 shuo1	8-58432-B
fen1 song4	8-58952-B
fen1 suan1 na4	66-66935-S
fen1 tai4	63-41566-B
fen1 tan1	8-53499-B
fen1 tao2	8-55380-B
fen1 ting2 kang4 li3	8-52550-B
fen1 tong4 ku3	54-43758-S
fen1 tou2	8-59803-B
fen1 wei2	8-56383-B,36-24441-B
