sú yǔ	5-33645-B
sú zhī fēng	4-67354-S
sú zuò pǐn	23-3623-S
sú zì	5-33212-B
sā	4-39559-B,29-6068-B
sā dàn	29-6264-B,29-7365-B,70-36055-S
sā dū gāi rén	29-8785-B
sā gé	5-25129-S
sā huǎng	29-8444-B
sā hā lā	29-6438-B,57-17598-S
sā hā lā yǐ nán	29-6486-B
sā hā lā yǐ nán fēi zhōu	29-6560-B
sā jiā lì yà	29-8601-B
sā jiā lì yà shū	29-8704-B
sā jiāo	29-6839-B
sā jiǎo	29-8340-B
sā jiǔ fēng	29-8848-B
sā kè xùn	29-6313-B,45-3244-S
sā kè xùn rén	29-6370-B
sā kē dǎ hùn	29-8087-B
sā luó mǎn	29-8282-B
sā luó ní jiā	22-24099-S
sā luó ní jiā hòu shū	22-24309-S
sā luó ní jiā qián shū	22-24176-S
sā lài	29-8491-B
sā lèi yǎ	8-29788-S
sā lā	29-7165-B
sā lā zú	29-7216-B
sā lěng	51-42009-S
sā mǔ ěr jì shàng	29-7414-B,29-7583-B
sā mǔ ěr jì xià	29-7499-B,29-7668-B
sā niào	29-6930-B
sā pō	29-7843-B
sā qì	29-7752-B
sā rán	29-7904-B
sā shǒu	29-7006-B
sā shǒu jiǎn	29-7067-B
sā tuǐ	29-8395-B
sā wǎng	29-8234-B
sā yì yà	5-25071-S
sā yì zhēng	29-6740-B
sā yā zi	29-6128-B
sā yě	29-8933-B
sā yī yà	5-24986-S
sā ěr mèng	29-7943-B
sāi	8-17180-S,16-19358-B,19-26091-S,24-37575-S,28-35728-B,36-27632-S,37-64648-S,48-7513-S,51-39227-S,52-41807-B,60-42513-S,61-2995-S,66-8941-S,70-45794-B
sāi 5r	17-69864-S
sāi bā sī dì ān	16-19729-B
sāi dí sī bēn chí	34-10377-S
sāi dōng	37-37921-S
sāi gōng	70-45830-B
sāi kè hú	4-48169-S
sāi liè	70-45954-B
sāi luó	18-13257-S,57-14900-S
sāi lā tè	54-63735-S
sāi mán	1-29215-S
sāi mǐ sōng	15-40035-S
sāi nà hé	16-20743-B
sāi qí	23-31628-S
sāi rén	12-40216-S
sāi shé ěr	16-21056-B
sāi sī	58-49168-S
sāi tī	10-69113-S
sāi tōng zhī	9-19084-S,61-66444-S
sāi tǎ shí bēi	50-56717-S
sāi wéi lì yà	16-20791-B
sāi wǎ sī tuō bō ěr	16-20659-B
sāi xiàn	52-41856-B
sāi xiàn yán	52-41926-B
sāi zhōu	69-41594-S
sāi zi	16-19688-B
